"Nr";"Occurrence";"Message";"Type";"ParentNr"
"1";"23.6.2021, 20:43:57.192";"Logging started for SiOME 2.2.0 to C:\Users\a01425647\Desktop\itia-main\itia\OPC UA Modeling Editor (SiOME)-20210605\109755133_SiOME_CODE_V22\log\SiOME_2.2.0_log_20210604_204357.csv" ;"LOG";""
"2";"23.6.2021, 20:44:00.198";"Added Opc.Ua.NodeSet2.xml Version 1.04.7" ;"LOG";""
"3";"23.6.2021, 20:44:14.136";"Attached to  project C:\Users\a01425647\Desktop\itia-main\itia\target56\Template_ITIA2021.ap15_1" ;"LOG";""
"4";"23.6.2021, 20:44:34.642";"Selected PLC: Target_56_PLC" ;"LOG";""
"5";"23.6.2021, 20:44:34.941";"Catalog information: name: Target_56_PLC, short designation: CPU 1513-1 PN, article number: 6ES7 513-1AL02-0AB0, firmware version: V2.6" ;"INFO";""
"6";"23.6.2021, 20:46:06.987";"Check publication date of required models" ;"LOG";""
"7";"23.6.2021, 20:46:06.989";"All required models are up to date" ;"INFO";"6"
"8";"23.6.2021, 20:46:07.528";"Imported model from file C:\Users\a01425647\Desktop\itia\OPC UA Modeling Editor (SiOME)-20210605\SiOME_nodeset_dbvar.xml" ;"LOG";""
"9";"23.6.2021, 20:46:07.535";"Added namespace: http://itia_target23" ;"INFO";"8"
"10";"23.6.2021, 20:46:07.539";"Number of nodes added: 29" ;"INFO";"8"
"11";"23.6.2021, 20:46:07.541";"Schema validation passed. XML was checked against UANodeSet.xsd and Types.xsd (V1.04.7)." ;"INFO";"8"
"12";"23.6.2021, 20:46:28.943";"Unlocked and Current model http://itia_target23" ;"LOG";""
"13";"23.6.2021, 20:57:35.912";"Settings saved successfully!" ;"LOG";""
